"trial","ref_position","var_area","response","correct","rt"
1,"R",8.95865381835029,"L",FALSE,2.50200009346008
2,"R",13.3089724290185,"L",TRUE,2.13299989700317
3,"R",13.3960194201209,"L",TRUE,1.53800010681152
4,"L",11.7866798276082,"R",TRUE,2.25799989700317
5,"L",13.8573131619487,"R",TRUE,2.02100014686584
6,"L",11.7432720342185,"L",FALSE,1.89300012588501
7,"L",8.14039607113227,"L",TRUE,1.77500009536743
8,"L",13.0413571838289,"R",TRUE,3.0990002155304
9,"R",10.1148935190868,"L",TRUE,2.85500001907349
10,"R",10.2051740882453,"L",TRUE,3.45500016212463
11,"R",12.5721682913136,"L",TRUE,1.90299987792969
12,"L",11.0865101860836,"R",TRUE,1.89699983596802
13,"R",8.55574466241524,"L",FALSE,2.61500000953674
14,"R",12.5130328042433,"L",TRUE,1.77300000190735
15,"L",11.3321306167636,"R",TRUE,1.6489999294281
16,"R",10.6859141036402,"L",TRUE,1.65400004386902
17,"R",14.6574951433577,"L",TRUE,2.61300015449524
18,"R",14.1976149054244,"L",TRUE,2.73499989509583
19,"R",11.8594554278534,"L",TRUE,1.65899991989136
20,"L",8.57454525562935,"L",TRUE,2.01699995994568
