"trial","ref_position","var_area","response","correct","rt"
1,"L",11.7773492210545,"R",TRUE,13.1849999427795
2,"R",13.3561195677612,"L",TRUE,2.3769998550415
3,"L",14.7896931611467,"R",TRUE,2.85500001907349
4,"L",13.5312809692696,"R",TRUE,2.24699997901917
5,"R",10.552113013342,"L",TRUE,2.85600018501282
6,"R",12.134875926422,"L",TRUE,3.69700002670288
7,"L",9.05154465441592,"R",TRUE,9.45700001716614
8,"R",12.922460134374,"L",TRUE,2.73699998855591
9,"L",14.7066574988421,"R",TRUE,1.41499996185303
10,"L",12.0537583683617,"R",TRUE,2.73399996757507
11,"R",10.2050182844978,"L",TRUE,7.05800008773804
12,"R",14.4445182054769,"L",TRUE,2.49900007247925
13,"L",14.9756889485288,"R",TRUE,2.61800003051758
14,"R",12.632147106342,"L",TRUE,2.62000012397766
15,"R",12.9607879035175,"L",TRUE,4.53200006484985
16,"R",14.3573806439526,"L",TRUE,2.26200008392334
17,"R",9.53982207947411,"L",TRUE,6.09800004959106
18,"R",13.4749827871565,"L",TRUE,2.13800001144409
19,"L",13.3879304779693,"R",TRUE,2.61499977111816
20,"R",14.3489499019925,"L",TRUE,2.38100004196167
